Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
Painful Urination,Tired,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Headache,Rose spots,Confusion,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Tired,Frequent Infection,Rashes,Seizures,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Frequent Infection,Rashes,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Headache,Rashes,Confusion,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Rose spots,Confusion,Critical,Diabetes
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Confusion,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Rashes,Confusion,Critical,cancer
Frequent Urination,Hunger,Headache,Rashes,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Headache,Rashes,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Headache,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Rose spots,Disorientation,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Disorientation,Critical,Diabetes
Frequent Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Tired,Headache,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Tired,Muscle Aches,Rose spots,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,Seizures,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Swollen genitals,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rashes,Seizures,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Rashes,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,Confusion,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Headache,Rose spots,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Headache,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Muscle Aches,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
Frequent Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Rashes,Confusion,Critical,cardiovascular_disease
Painful Urination,Hunger,Headache,Rose spots,Confusion,Critical,cancer
Painful Urination,Tired,Headache,Swollen testicles,Disorientation,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Seizures,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Swollen testicles,Seizures,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,Seizures,Critical,cancer
Difficulties in stooling,Fever,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Headache,Rose spots,Seizures,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Rose spots,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Headache,Rashes,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Headache,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,Rashes,Confusion,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Hunger,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Swollen testicles,Seizures,Critical,Diabetes
Difficulties in stooling,Tired,Blurred Vision,Rose spots,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,NIL,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Rashes,Confusion,Critical,cardiovascular_disease
Frequent Urination,Hunger,Blurred Vision,Rashes,Seizures,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Seizures,Critical,cancer
Frequent Urination,Fever,Headache,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Blurred Vision,Rose spots,Seizures,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,Rashes,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Hunger,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,Confusion,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Fever,Headache,NIL,Seizures,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Tired,Abdominal Pain,Bloody diarrhea,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,Disorientation,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Blurred Vision,Swollen testicles,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Rose spots,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Rashes,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rose spots,Confusion,Critical,cardiovascular_disease
Painful Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Frequent Infection,Bloody diarrhea,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Headache,Rose spots,Seizures,Critical,Diabetes
Painful Urination,Hunger,Headache,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Fever,Blurred Vision,Swollen testicles,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Muscle Aches,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Headache,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Hunger,Muscle Aches,Bloody diarrhea,Confusion,Critical,Diabetes
"Yellow,green discharge",Fever,Swollen genitals,Swollen testicles,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Muscle Aches,Swollen testicles,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Painful Urination,Fever,Blurred Vision,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Hunger,Muscle Aches,Rashes,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Swollen genitals,Swollen testicles,Seizures,Critical,cardiovascular_disease
Frequent Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Headache,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Tired,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rashes,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Blurred Vision,Swollen testicles,Disorientation,Critical,cancer
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Urge to urinate,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Hunger,Muscle Aches,Rashes,Confusion,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Headache,Bloody diarrhea,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Urge to urinate,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Tired,Swollen genitals,Rose spots,Disorientation,Critical,cancer
Frequent Urination,Tired,Muscle Aches,Rose spots,Disorientation,Critical,Diabetes
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cancer
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rashes,Seizures,Critical,cardiovascular_disease
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,Seizures,Critical,Diabetes
Frequent Urination,Urge to urinate,Headache,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,Rose spots,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Muscle Aches,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Rose spots,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Hunger,Swollen genitals,Bloody diarrhea,Confusion,Critical,cancer
Frequent Urination,Tired,Frequent Infection,Rashes,Disorientation,Critical,Diabetes
Frequent Urination,Tired,Headache,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Hunger,Blurred Vision,Bloody diarrhea,Confusion,Critical,cancer
Difficulties in stooling,Tired,Anal Itching and Pain,Rose spots,Disorientation,Critical,cancer
Painful Urination,Tired,Swollen genitals,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Swollen genitals,Rose spots,Seizures,Critical,cancer
"Yellow,green discharge",Hunger,Headache,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Hunger,Blurred Vision,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,cardiovascular_disease
Frequent Urination,Tired,Muscle Aches,Rashes,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Hunger,Headache,Rose spots,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Urge to urinate,Muscle Aches,Rose spots,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Rashes,Confusion,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,Rose spots,Seizures,Critical,cancer
Painful Urination,Urge to urinate,Muscle Aches,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cancer
Difficulties in stooling,Urge to urinate,Abdominal Pain,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Fever,Frequent Infection,Rashes,Confusion,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,Rashes,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Rashes,Seizures,Critical,cancer
Frequent Urination,Tired,Swollen genitals,Rose spots,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Swollen testicles,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,Disorientation,Critical,Diabetes
Painful Urination,Fever,Abdominal Pain,Rose spots,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Swollen genitals,Swollen testicles,Disorientation,Critical,Diabetes
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Urge to urinate,Frequent Infection,Swollen testicles,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Headache,Rose spots,Disorientation,Critical,cancer
"Yellow,green discharge",Urge to urinate,Headache,Swollen testicles,Disorientation,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Headache,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Headache,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Tired,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Tired,Frequent Infection,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,Bloody diarrhea,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Abdominal Pain,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Headache,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Muscle Aches,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Headache,Rashes,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Fever,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Tired,Muscle Aches,Bloody diarrhea,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Headache,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Headache,Rashes,Seizures,Critical,Diabetes
Painful Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
Frequent Urination,Fever,Blurred Vision,Rose spots,Disorientation,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Tired,Frequent Infection,Rashes,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,Swollen testicles,NIL,Critical,Diabetes
Difficulties in stooling,Fever,Frequent Infection,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
